j   a   k   b   l   c   <S^a_j S^b_k S^c_l>             
2   1   4   2   6   0         0.0000000000000000      0.0000000000000000
2   2   4   0   6   1         0.0000000000000000      0.0000000000000000
2   2   4   1   6   0         0.0000000000000000      0.0000000000000000
2   0   4   1   7   2         0.0000000000000000      0.0000000000000000
2   0   4   2   7   1         0.0000000000000000      0.0000000000000000
2   1   4   0   7   2         0.0000000000000000      0.0000000000000000
2   1   4   2   7   0         0.0000000000000000      0.0000000000000000
2   2   4   0   7   1         0.0000000000000000      0.0000000000000000
2   2   4   1   7   0         0.0000000000000000      0.0000000000000000
2   0   5   1   6   2         0.0000000000000000      0.0000000000000000
2   0   5   2   6   1         0.0000000000000000      0.0000000000000000
2   1   5   0   6   2         0.0000000000000000      0.0000000000000000
2   1   5   2   6   0         0.0000000000000000      0.0000000000000000
2   2   5   0   6   1         0.0000000000000000      0.0000000000000000
2   2   5   1   6   0         0.0000000000000000      0.0000000000000000
2   0   5   1   7   2         0.0000000000000000      0.0000000000000000
2   0   5   2   7   1         0.0000000000000000      0.0000000000000000
2   1   5   0   7   2         0.0000000000000000      0.0000000000000000
2   1   5   2   7   0         0.0000000000000000      0.0000000000000000
2   2   5   0   7   1         0.0000000000000000      0.0000000000000000
2   2   5   1   7   0         0.0000000000000000      0.0000000000000000
2   0   6   1   7   2         0.0000000000000000      0.0000000000000000
2   0   6   2   7   1         0.0000000000000000      0.0000000000000000
2   1   6   0   7   2         0.0000000000000000      0.0000000000000000
2   1   6   2   7   0         0.0000000000000000      0.0000000000000000
2   2   6   0   7   1         0.0000000000000000      0.0000000000000000
2   2   6   1   7   0         0.0000000000000000      0.0000000000000000
3   0   4   1   5   2         0.0000000000000000      0.0000000000000000
3   0   4   2   5   1         0.0000000000000000      0.0000000000000000
3   1   4   0   5   2         0.0000000000000000      0.0000000000000000
3   1   4   2   5   0         0.0000000000000000      0.0000000000000000
3   2   4   0   5   1         0.0000000000000000      0.0000000000000000
3   2   4   1   5   0         0.0000000000000000      0.0000000000000000
3   0   4   1   6   2         0.0000000000000000      0.0000000000000000
3   0   4   2   6   1         0.0000000000000000      0.0000000000000000
3   1   4   0   6   2         0.0000000000000000      0.0000000000000000
3   1   4   2   6   0         0.0000000000000000      0.0000000000000000
3   2   4   0   6   1         0.0000000000000000      0.0000000000000000
3   2   4   1   6   0         0.0000000000000000      0.0000000000000000
3   0   4   1   7   2         0.0000000000000000      0.0000000000000000
3   0   4   2   7   1         0.0000000000000000      0.0000000000000000
3   1   4   0   7   2         0.0000000000000000      0.0000000000000000
3   1   4   2   7   0         0.0000000000000000      0.0000000000000000
3   2   4   0   7   1         0.0000000000000000      0.0000000000000000
3   2   4   1   7   0         0.0000000000000000      0.0000000000000000
3   0   5   1   6   2         0.0000000000000000      0.0000000000000000
3   0   5   2   6   1         0.0000000000000000      0.0000000000000000
3   1   5   0   6   2         0.0000000000000000      0.0000000000000000
3   1   5   2   6   0         0.0000000000000000      0.0000000000000000
3   2   5   0   6   1         0.0000000000000000      0.0000000000000000
3   2   5   1   6   0         0.0000000000000000      0.0000000000000000
3   0   5   1   7   2         0.0000000000000000      0.0000000000000000
3   0   5   2   7   1         0.0000000000000000      0.0000000000000000
3   1   5   0   7   2         0.0000000000000000      0.0000000000000000
3   1   5   2   7   0         0.0000000000000000      0.0000000000000000
3   2   5   0   7   1         0.0000000000000000      0.0000000000000000
3   2   5   1   7   0         0.0000000000000000      0.0000000000000000
3   0   6   1   7   2         0.0000000000000000      0.0000000000000000
3   0   6   2   7   1         0.0000000000000000      0.0000000000000000
3   1   6   0   7   2         0.0000000000000000      0.0000000000000000
3   1   6   2   7   0         0.0000000000000000      0.0000000000000000
3   2   6   0   7   1         0.0000000000000000      0.0000000000000000
3   2   6   1   7   0         0.0000000000000000      0.0000000000000000
4   0   5   1   6   2         0.0000000000000000      0.0000000000000000
4   0   5   2   6   1         0.0000000000000000      0.0000000000000000
4   1   5   0   6   2         0.0000000000000000      0.0000000000000000
4   1   5   2   6   0         0.0000000000000000      0.0000000000000000
4   2   5   0   6   1         0.0000000000000000      0.0000000000000000
4   2   5   1   6   0         0.0000000000000000      0.0000000000000000
4   0   5   1   7   2         0.0000000000000000      0.0000000000000000
4   0   5   2   7   1         0.0000000000000000      0.0000000000000000
4   1   5   0   7   2         0.0000000000000000      0.0000000000000000
4   1   5   2   7   0         0.0000000000000000      0.0000000000000000
4   2   5   0   7   1         0.0000000000000000      0.0000000000000000
4   2   5   1   7   0         0.0000000000000000      0.0000000000000000
4   0   6   1   7   2         0.0000000000000000      0.0000000000000000
4   0   6   2   7   1         0.0000000000000000      0.0000000000000000
4   1   6   0   7   2         0.0000000000000000      0.0000000000000000
4   1   6   2   7   0         0.0000000000000000      0.0000000000000000
4   2   6   0   7   1         0.0000000000000000      0.0000000000000000
4   2   6   1   7   0         0.0000000000000000      0.0000000000000000
5   0   6   1   7   2         0.0000000000000000      0.0000000000000000
5   0   6   2   7   1         0.0000000000000000      0.0000000000000000
5   1   6   0   7   2         0.0000000000000000      0.0000000000000000
5   1   6   2   7   0         0.0000000000000000      0.0000000000000000
5   2   6   0   7   1         0.0000000000000000      0.0000000000000000
5   2   6   1   7   0         0.0000000000000000      0.0000000000000000
