  0.00000000      7.25519746
 -3.14159265      5.44139809
 -1.04719755      5.44139809
  1.04719755      5.44139809
  3.14159265      5.44139809
 -6.28318531      3.62759873
 -4.18879020      3.62759873
 -2.09439510      3.62759873
  0.00000000      3.62759873
  2.09439510      3.62759873
  4.18879020      3.62759873
  6.28318531      3.62759873
 -5.23598776      1.81379936
 -3.14159266      1.81379936
 -1.04719755      1.81379936
  1.04719755      1.81379936
  3.14159266      1.81379936
  5.23598776      1.81379936
 -6.28318531      0.00000000
 -4.18879020      0.00000000
 -2.09439510      0.00000000
  0.00000000      0.00000000
  2.09439510      0.00000000
  4.18879020      0.00000000
  6.28318531      0.00000000
 -5.23598776     -1.81379936
 -3.14159266     -1.81379936
 -1.04719755     -1.81379936
  1.04719755     -1.81379936
  3.14159266     -1.81379936
  5.23598776     -1.81379936
 -6.28318531     -3.62759873
 -4.18879020     -3.62759873
 -2.09439510     -3.62759873
  0.00000000     -3.62759873
  2.09439510     -3.62759873
  4.18879020     -3.62759873
  6.28318531     -3.62759873
 -3.14159265     -5.44139809
 -1.04719755     -5.44139809
  1.04719755     -5.44139809
  3.14159265     -5.44139809
 -0.00000000     -7.25519746
