(0.2500000000000001,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000)
(-0.0240562612166667,0.0000000000000000) (0.2500000000000001,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000)
(0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.2500000000000001,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000)
(-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.2500000000000001,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000)
(0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.2500000000000001,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000)
(-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.2500000000000001,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000)
(0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.2500000000000001,0.0000000000000000) (-0.0240562612166667,0.0000000000000000)
(0.0000000000000000,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0962250448666667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.0000000000000000,0.0000000000000000) (-0.0240562612166667,0.0000000000000000) (0.2500000000000001,0.0000000000000000)
