    0    0    0    0    0    0    0    0 0.5000000000 0.0000000000 
    0    0    0    0    0    0    0    1 -0.0000000000 0.0000000000 
    0    0    0    0    0    1    0    0 0.0000000000 0.0000000000 
    0    0    0    0    0    1    0    1 0.0000000000 0.0000000000 
    0    0    0    0    1    0    1    0 0.2500000000 0.0000000000 
    0    0    0    0    1    0    1    1 0.0000000000 0.0000000000 
    0    0    0    0    1    1    1    0 0.0000000000 -0.0000000000 
    0    0    0    0    1    1    1    1 0.2500000000 0.0000000000 
    0    0    0    0    2    0    2    0 0.2046017731 0.0000000000 
    0    0    0    0    2    0    2    1 -0.0000000000 -0.0000000000 
    0    0    0    0    2    1    2    0 -0.0000000000 0.0000000000 
    0    0    0    0    2    1    2    1 0.2953982269 0.0000000000 
    0    0    0    0    3    0    3    0 0.2500000000 0.0000000000 
    0    0    0    0    3    0    3    1 -0.0000000000 -0.0000000000 
    0    0    0    0    3    1    3    0 -0.0000000000 0.0000000000 
    0    0    0    0    3    1    3    1 0.2500000000 0.0000000000 
    0    0    0    0    4    0    4    0 0.2500000000 0.0000000000 
    0    0    0    0    4    0    4    1 0.0000000000 0.0000000000 
    0    0    0    0    4    1    4    0 0.0000000000 -0.0000000000 
    0    0    0    0    4    1    4    1 0.2500000000 0.0000000000 
    0    0    0    0    5    0    5    0 0.1311084561 0.0000000000 
    0    0    0    0    5    0    5    1 -0.0000000000 0.0000000000 
    0    0    0    0    5    1    5    0 -0.0000000000 -0.0000000000 
    0    0    0    0    5    1    5    1 0.3688915439 0.0000000000 
    0    0    0    0    6    0    6    0 0.2500000000 0.0000000000 
    0    0    0    0    6    0    6    1 0.0000000000 -0.0000000000 
    0    0    0    0    6    1    6    0 0.0000000000 0.0000000000 
    0    0    0    0    6    1    6    1 0.2500000000 0.0000000000 
    0    0    0    0    7    0    7    0 0.3061152945 0.0000000000 
    0    0    0    0    7    0    7    1 -0.0000000000 -0.0000000000 
    0    0    0    0    7    1    7    0 -0.0000000000 0.0000000000 
    0    0    0    0    7    1    7    1 0.1938847055 0.0000000000 
    0    0    0    1    0    0    0    0 0.0000000000 0.0000000000 
    0    0    0    1    0    0    0    1 0.0000000000 0.0000000000 
    0    0    0    1    0    1    0    0 0.5000000000 0.0000000000 
    0    0    0    1    0    1    0    1 -0.0000000000 0.0000000000 
    0    0    0    1    1    0    1    0 -0.0000000000 0.0000000000 
    0    0    0    1    1    0    1    1 -0.1172939163 0.0000000000 
    0    0    0    1    1    1    1    0 -0.1172939163 0.0000000000 
    0    0    0    1    1    1    1    1 -0.0000000000 0.0000000000 
    0    0    0    1    2    0    2    0 -0.0000000000 0.0000000000 
    0    0    0    1    2    0    2    1 -0.0000000000 -0.0000000000 
    0    0    0    1    2    1    2    0 0.0000000000 -0.0000000000 
    0    0    0    1    2    1    2    1 -0.0000000000 0.0000000000 
    0    0    0    1    3    0    3    0 -0.0000000000 0.0000000000 
    0    0    0    1    3    0    3    1 0.1683230370 0.0000000000 
    0    0    0    1    3    1    3    0 -0.1683230370 -0.0000000000 
    0    0    0    1    3    1    3    1 -0.0000000000 0.0000000000 
    0    0    0    1    4    0    4    0 -0.0000000000 0.0000000000 
    0    0    0    1    4    0    4    1 -0.0097272890 -0.0000000000 
    0    0    0    1    4    1    4    0 0.0097272890 -0.0000000000 
    0    0    0    1    4    1    4    1 -0.0000000000 0.0000000000 
    0    0    0    1    5    0    5    0 -0.0000000000 0.0000000000 
    0    0    0    1    5    0    5    1 0.0000000000 -0.0000000000 
    0    0    0    1    5    1    5    0 -0.0000000000 0.0000000000 
    0    0    0    1    5    1    5    1 -0.0000000000 0.0000000000 
    0    0    0    1    6    0    6    0 -0.0000000000 0.0000000000 
    0    0    0    1    6    0    6    1 -0.0381352588 0.0000000000 
    0    0    0    1    6    1    6    0 -0.0381352588 -0.0000000000 
    0    0    0    1    6    1    6    1 -0.0000000000 0.0000000000 
    0    0    0    1    7    0    7    0 -0.0000000000 0.0000000000 
    0    0    0    1    7    0    7    1 0.0591613626 0.0000000000 
    0    0    0    1    7    1    7    0 0.0351141817 0.0000000000 
    0    0    0    1    7    1    7    1 -0.0000000000 0.0000000000 
    0    1    0    0    0    0    0    0 -0.0000000000 -0.0000000000 
    0    1    0    0    0    0    0    1 0.5000000000 0.0000000000 
    0    1    0    0    0    1    0    0 0.0000000000 0.0000000000 
    0    1    0    0    0    1    0    1 0.0000000000 0.0000000000 
    0    1    0    0    1    0    1    0 -0.0000000000 -0.0000000000 
    0    1    0    0    1    0    1    1 -0.1172939163 -0.0000000000 
    0    1    0    0    1    1    1    0 -0.1172939163 -0.0000000000 
    0    1    0    0    1    1    1    1 -0.0000000000 -0.0000000000 
    0    1    0    0    2    0    2    0 -0.0000000000 -0.0000000000 
    0    1    0    0    2    0    2    1 0.0000000000 0.0000000000 
    0    1    0    0    2    1    2    0 -0.0000000000 0.0000000000 
    0    1    0    0    2    1    2    1 -0.0000000000 -0.0000000000 
    0    1    0    0    3    0    3    0 -0.0000000000 -0.0000000000 
    0    1    0    0    3    0    3    1 -0.1683230370 0.0000000000 
    0    1    0    0    3    1    3    0 0.1683230370 -0.0000000000 
    0    1    0    0    3    1    3    1 -0.0000000000 -0.0000000000 
    0    1    0    0    4    0    4    0 -0.0000000000 -0.0000000000 
    0    1    0    0    4    0    4    1 0.0097272890 0.0000000000 
    0    1    0    0    4    1    4    0 -0.0097272890 0.0000000000 
    0    1    0    0    4    1    4    1 -0.0000000000 -0.0000000000 
    0    1    0    0    5    0    5    0 -0.0000000000 -0.0000000000 
    0    1    0    0    5    0    5    1 -0.0000000000 -0.0000000000 
    0    1    0    0    5    1    5    0 0.0000000000 0.0000000000 
    0    1    0    0    5    1    5    1 -0.0000000000 -0.0000000000 
    0    1    0    0    6    0    6    0 -0.0000000000 -0.0000000000 
    0    1    0    0    6    0    6    1 -0.0381352588 0.0000000000 
    0    1    0    0    6    1    6    0 -0.0381352588 -0.0000000000 
    0    1    0    0    6    1    6    1 -0.0000000000 -0.0000000000 
    0    1    0    0    7    0    7    0 -0.0000000000 -0.0000000000 
    0    1    0    0    7    0    7    1 0.0351141817 -0.0000000000 
    0    1    0    0    7    1    7    0 0.0591613626 -0.0000000000 
    0    1    0    0    7    1    7    1 -0.0000000000 -0.0000000000 
    0    1    0    1    0    0    0    0 0.0000000000 0.0000000000 
    0    1    0    1    0    0    0    1 0.0000000000 0.0000000000 
    0    1    0    1    0    1    0    0 -0.0000000000 -0.0000000000 
    0    1    0    1    0    1    0    1 0.5000000000 0.0000000000 
    0    1    0    1    1    0    1    0 0.2500000000 0.0000000000 
    0    1    0    1    1    0    1    1 0.0000000000 0.0000000000 
    0    1    0    1    1    1    1    0 0.0000000000 -0.0000000000 
    0    1    0    1    1    1    1    1 0.2500000000 0.0000000000 
    0    1    0    1    2    0    2    0 0.2953982269 0.0000000000 
    0    1    0    1    2    0    2    1 -0.0000000000 -0.0000000000 
    0    1    0    1    2    1    2    0 -0.0000000000 0.0000000000 
    0    1    0    1    2    1    2    1 0.2046017731 0.0000000000 
    0    1    0    1    3    0    3    0 0.2500000000 0.0000000000 
    0    1    0    1    3    0    3    1 0.0000000000 -0.0000000000 
    0    1    0    1    3    1    3    0 0.0000000000 0.0000000000 
    0    1    0    1    3    1    3    1 0.2500000000 0.0000000000 
    0    1    0    1    4    0    4    0 0.2500000000 0.0000000000 
    0    1    0    1    4    0    4    1 0.0000000000 -0.0000000000 
    0    1    0    1    4    1    4    0 0.0000000000 0.0000000000 
    0    1    0    1    4    1    4    1 0.2500000000 0.0000000000 
    0    1    0    1    5    0    5    0 0.3688915439 0.0000000000 
    0    1    0    1    5    0    5    1 -0.0000000000 0.0000000000 
    0    1    0    1    5    1    5    0 -0.0000000000 -0.0000000000 
    0    1    0    1    5    1    5    1 0.1311084561 0.0000000000 
    0    1    0    1    6    0    6    0 0.2500000000 0.0000000000 
    0    1    0    1    6    0    6    1 0.0000000000 -0.0000000000 
    0    1    0    1    6    1    6    0 0.0000000000 0.0000000000 
    0    1    0    1    6    1    6    1 0.2500000000 0.0000000000 
    0    1    0    1    7    0    7    0 0.1938847055 0.0000000000 
    0    1    0    1    7    0    7    1 -0.0000000000 0.0000000000 
    0    1    0    1    7    1    7    0 -0.0000000000 -0.0000000000 
    0    1    0    1    7    1    7    1 0.3061152945 0.0000000000 
    1    0    1    0    0    0    0    0 0.2500000000 0.0000000000 
    1    0    1    0    0    0    0    1 -0.0000000000 0.0000000000 
    1    0    1    0    0    1    0    0 -0.0000000000 -0.0000000000 
    1    0    1    0    0    1    0    1 0.2500000000 0.0000000000 
    1    0    1    0    1    0    1    0 0.5000000000 0.0000000000 
    1    0    1    0    1    0    1    1 0.0000000000 0.0000000000 
    1    0    1    0    1    1    1    0 0.0000000000 0.0000000000 
    1    0    1    0    1    1    1    1 0.0000000000 0.0000000000 
    1    0    1    0    2    0    2    0 0.2500000000 0.0000000000 
    1    0    1    0    2    0    2    1 -0.0000000000 -0.0000000000 
    1    0    1    0    2    1    2    0 -0.0000000000 0.0000000000 
    1    0    1    0    2    1    2    1 0.2500000000 0.0000000000 
    1    0    1    0    3    0    3    0 0.2046017731 0.0000000000 
    1    0    1    0    3    0    3    1 0.0000000000 -0.0000000000 
    1    0    1    0    3    1    3    0 0.0000000000 0.0000000000 
    1    0    1    0    3    1    3    1 0.2953982269 0.0000000000 
    1    0    1    0    4    0    4    0 0.1311084561 0.0000000000 
    1    0    1    0    4    0    4    1 0.0000000000 -0.0000000000 
    1    0    1    0    4    1    4    0 0.0000000000 0.0000000000 
    1    0    1    0    4    1    4    1 0.3688915439 0.0000000000 
    1    0    1    0    5    0    5    0 0.2500000000 0.0000000000 
    1    0    1    0    5    0    5    1 -0.0000000000 0.0000000000 
    1    0    1    0    5    1    5    0 -0.0000000000 -0.0000000000 
    1    0    1    0    5    1    5    1 0.2500000000 0.0000000000 
    1    0    1    0    6    0    6    0 0.3061152945 0.0000000000 
    1    0    1    0    6    0    6    1 0.0000000000 -0.0000000000 
    1    0    1    0    6    1    6    0 0.0000000000 0.0000000000 
    1    0    1    0    6    1    6    1 0.1938847055 0.0000000000 
    1    0    1    0    7    0    7    0 0.2500000000 0.0000000000 
    1    0    1    0    7    0    7    1 0.0000000000 -0.0000000000 
    1    0    1    0    7    1    7    0 0.0000000000 0.0000000000 
    1    0    1    0    7    1    7    1 0.2500000000 0.0000000000 
    1    0    1    1    0    0    0    0 0.0000000000 0.0000000000 
    1    0    1    1    0    0    0    1 -0.1172939163 0.0000000000 
    1    0    1    1    0    1    0    0 -0.1172939163 -0.0000000000 
    1    0    1    1    0    1    0    1 0.0000000000 0.0000000000 
    1    0    1    1    1    0    1    0 0.0000000000 0.0000000000 
    1    0    1    1    1    0    1    1 0.0000000000 0.0000000000 
    1    0    1    1    1    1    1    0 0.5000000000 0.0000000000 
    1    0    1    1    1    1    1    1 0.0000000000 0.0000000000 
    1    0    1    1    2    0    2    0 0.0000000000 0.0000000000 
    1    0    1    1    2    0    2    1 0.1683230370 0.0000000000 
    1    0    1    1    2    1    2    0 -0.1683230370 0.0000000000 
    1    0    1    1    2    1    2    1 0.0000000000 0.0000000000 
    1    0    1    1    3    0    3    0 0.0000000000 0.0000000000 
    1    0    1    1    3    0    3    1 -0.0000000000 -0.0000000000 
    1    0    1    1    3    1    3    0 0.0000000000 0.0000000000 
    1    0    1    1    3    1    3    1 0.0000000000 0.0000000000 
    1    0    1    1    4    0    4    0 0.0000000000 0.0000000000 
    1    0    1    1    4    0    4    1 0.0000000000 -0.0000000000 
    1    0    1    1    4    1    4    0 -0.0000000000 -0.0000000000 
    1    0    1    1    4    1    4    1 0.0000000000 0.0000000000 
    1    0    1    1    5    0    5    0 0.0000000000 0.0000000000 
    1    0    1    1    5    0    5    1 -0.0097272890 0.0000000000 
    1    0    1    1    5    1    5    0 0.0097272890 -0.0000000000 
    1    0    1    1    5    1    5    1 0.0000000000 0.0000000000 
    1    0    1    1    6    0    6    0 0.0000000000 0.0000000000 
    1    0    1    1    6    0    6    1 0.0591613626 -0.0000000000 
