    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    0    1    0    1    0 0.0013048435 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    0    1    0    1    1 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    0    1    1    1    0 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    0    1    1    1    1 0.0120864144 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    1    1    0    1    0 0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    1    1    0    1    1 0.0014812578 -0.0003878296 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    1    1    1    1    0 -0.0149385429 -0.0006275214 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    0    0    1    1    1    1    1 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    0    1    0    1    0 0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    0    1    0    1    1 -0.0149385429 0.0006275214 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    0    1    1    1    0 0.0014812578 0.0003878296 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    0    1    1    1    1 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    1    1    0    1    0 0.0193823098 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    1    1    0    1    1 0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    1    1    1    1    0 0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    0     0    1    0    1    1    1    1    1 0.0026828133 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    0    1    0    1    0 0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    0    1    0    1    1 0.0008382765 0.0006733554 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    0    1    1    1    0 0.0022852333 0.0023423260 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    0    1    1    1    1 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    1    1    0    1    0 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    1    1    0    1    1 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    1    1    1    1    0 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    0    0    1    1    1    1    1 0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    0    1    0    1    0 -0.0021946364 -0.0037899630 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    0    1    0    1    1 0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    0    1    1    1    0 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    0    1    1    1    1 0.0036975852 -0.0017628673 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    1    1    0    1    0 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    1    1    0    1    1 -0.0014123519 0.0014476371 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    1    1    1    1    0 -0.0013563599 0.0010895119 
    2    0    2    0    7    0    7    0    6    0    6    0     5    0    5    1     0    1    0    1    1    1    1    1 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    0    1    0    1    0 0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    0    1    0    1    1 0.0022852333 -0.0023423260 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    0    1    1    1    0 0.0008382765 -0.0006733554 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    0    1    1    1    1 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    1    1    0    1    0 -0.0021946364 0.0037899630 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    1    1    0    1    1 -0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    1    1    1    1    0 0.0000000000 -0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    0    0    1    1    1    1    1 0.0036975852 0.0017628673 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    1    0    0    1    0    1    0 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    1    0    0    1    0    1    1 -0.0000000000 0.0000000000 
    2    0    2    0    7    0    7    0    6    0    6    0     5    1    5    0     0    1    0    0    1    1    1    0 -0.0000000000 0.0000000000 
