    0    0    0    0 0.4867997127 0.0000000000
    0    0    0    1 0.0025853162 0.0890012698
    0    1    0    0 0.0025853162 -0.0890012698
    0    1    0    1 0.5132002873 0.0000000000
    1    0    1    0 0.5740429004 0.0000000000
    1    0    1    1 -0.0048043802 -0.0071000446
    1    1    1    0 -0.0048043802 0.0071000446
    1    1    1    1 0.4259570996 0.0000000000
    2    0    2    0 0.3978149157 0.0000000000
    2    0    2    1 -0.0860578469 0.0070372225
    2    1    2    0 -0.0860578469 -0.0070372225
    2    1    2    1 0.6021850843 0.0000000000
    3    0    3    0 0.4583317350 0.0000000000
    3    0    3    1 0.0924903316 -0.0960211918
    3    1    3    0 0.0924903316 0.0960211918
    3    1    3    1 0.5416682650 0.0000000000
    4    0    4    0 0.4278313414 0.0000000000
    4    0    4    1 0.0191266145 -0.0010746289
    4    1    4    0 0.0191266145 0.0010746289
    4    1    4    1 0.5721686586 0.0000000000
    5    0    5    0 0.5080217837 0.0000000000
    5    0    5    1 -0.0211771891 -0.0397216060
    5    1    5    0 -0.0211771891 0.0397216060
    5    1    5    1 0.4919782163 0.0000000000
    6    0    6    0 0.5461701930 0.0000000000
    6    0    6    1 0.0743473088 0.0436259742
    6    1    6    0 0.0743473088 -0.0436259742
    6    1    6    1 0.4538298070 0.0000000000
    7    0    7    0 0.5984372921 0.0000000000
    7    0    7    1 -0.0696230377 0.0006114638
    7    1    7    0 -0.0696230377 -0.0006114638
    7    1    7    1 0.4015627079 0.0000000000
