    0    0    0    0    1    0    1    0    2    0    2    0 0.1196778894 0.0000000000 
    0    0    0    0    1    0    1    0    2    0    2    1 -0.0000000000 -0.0000000000 
    0    0    0    0    1    0    1    0    2    1    2    0 -0.0000000000 0.0000000000 
    0    0    0    0    1    0    1    0    2    1    2    1 0.1303221106 0.0000000000 
    0    0    0    0    1    0    1    1    2    0    2    0 -0.0000000000 0.0000000000 
    0    0    0    0    1    0    1    1    2    0    2    1 0.0565891895 -0.0066642671 
    0    0    0    0    1    0    1    1    2    1    2    0 -0.0565891895 -0.0066642671 
    0    0    0    0    1    0    1    1    2    1    2    1 -0.0000000000 0.0000000000 
    0    0    0    0    1    1    1    0    2    0    2    0 -0.0000000000 -0.0000000000 
    0    0    0    0    1    1    1    0    2    0    2    1 -0.0565891895 0.0066642671 
    0    0    0    0    1    1    1    0    2    1    2    0 0.0565891895 0.0066642671 
    0    0    0    0    1    1    1    0    2    1    2    1 -0.0000000000 -0.0000000000 
    0    0    0    0    1    1    1    1    2    0    2    0 0.1196778894 0.0000000000 
    0    0    0    0    1    1    1    1    2    0    2    1 -0.0000000000 -0.0000000000 
    0    0    0    0    1    1    1    1    2    1    2    0 -0.0000000000 0.0000000000 
    0    0    0    0    1    1    1    1    2    1    2    1 0.1303221106 0.0000000000 
    0    0    0    1    1    0    1    0    2    0    2    0 0.0000000000 -0.0000000000 
    0    0    0    1    1    0    1    0    2    0    2    1 0.0000000000 0.0092097907 
    0    0    0    1    1    0    1    0    2    1    2    0 -0.0000000000 0.0092097907 
    0    0    0    1    1    0    1    0    2    1    2    1 0.0000000000 -0.0000000000 
    0    0    0    1    1    0    1    1    2    0    2    0 -0.0655128393 -0.0066642671 
    0    0    0    1    1    0    1    1    2    0    2    1 0.0000000000 -0.0000000000 
    0    0    0    1    1    0    1    1    2    1    2    0 0.0000000000 -0.0000000000 
    0    0    0    1    1    0    1    1    2    1    2    1 -0.0655128393 0.0066642671 
